Id,Name,Region,Add,Town,Px,Py
C1_376470000A_000453,廣源良體驗工廠,彰化縣,彰化縣福興鄉福工路13-1號,福興鄉,120.490296,24.011108
C1_376470000A_000454,九龍大榕公,彰化縣,彰化縣竹塘鄉田頭村,竹塘鄉,120.449509,23.828715
C1_376470000A_000515,鹿港古井,彰化縣,彰化縣鹿港鎮後車巷74號旁,鹿港鎮,120.431078,24.057531
C1_376470000A_000623,八卦山脈生態遊客服務中心,彰化縣,彰化縣彰化市卦山路13-7號,彰化市,120.555991,24.078111
C1_376470000A_000624,福寶乳牛彩繪村,彰化縣,彰化縣福興鄉新生路8號,福興鄉,120.412117,24.041046
C1_376470000A_000625,蛤蜊兵營,彰化縣,彰化縣線西鄉中央路三段326巷101號,線西鄉,120.452711,24.139048
C1_376470000A_000626,龍騰公園,彰化縣,彰化縣秀水鄉民主街279巷,秀水鄉,120.496111,24.056102
C1_376470000A_000637,永安製鼓工藝社,彰化縣,彰化縣線西鄉溝內村溝內路48號,線西鄉,120.454931,24.128671
C1_376470000A_000639,今夜星辰休閒農場,彰化縣,彰化縣彰化市石牌路一段428號,彰化市,120.606111,24.052072
C1_376470000A_000640,平和社區雙心池塘,彰化縣,彰化縣大村鄉聖瑤西路一段,大村鄉,120.577802,23.996201
C1_376480000A_000003,國立暨南國際大學,南投縣,南投縣埔里鎮大學路1號,埔里鎮,120.93063,23.95135
C1_376480000A_000004,雲龍瀑布,南投縣,南投縣信義鄉八通關古道東埔登山口,信義鄉,120.95381,23.55557
C1_376480000A_000012,前山第一城石碣,南投縣,南投縣竹山鎮前山路一段278號 (前300公尺),竹山鎮,120.67115,23.76221
C1_376480000A_000014,林圮墓,南投縣,南投縣竹山鎮林圮街，育英路33號旁,竹山鎮,120.67964,23.75624
C1_376480000A_000016,藏傘閣文化休閒園區,南投縣,南投縣竹山鎮工業區延平路10號,草屯鎮,120.67383,23.95112
C1_376480000A_000019,橋聳雲天(國道六號國姓交流道),南投縣,橋聳雲天,國姓鄉,120.81528,24.00523
C1_376480000A_000020,楓香巨木群公園,南投縣,南投縣埔里鎮蜈蚣里的蜈蚣社區內,埔里鎮,120.99157,23.97677
C1_376480000A_000023,奕青酒莊,南投縣,南投縣水里鄉上安村安村巷101之9 號,水里鄉,120.85296,23.73369
C1_376480000A_000026,碧湖（萬大水庫）,南投縣,南投縣仁愛鄉親愛村萬大水庫,仁愛鄉,121.14212,24.03706
C1_376480000A_000027,鳶峰,南投縣,南投縣仁愛鄉台14甲線24.3公里處,仁愛鄉,121.23585,24.12012
C1_376480000A_000033,錦吉昆蟲館,南投縣,埔里鎮中山路一段21號,埔里鎮,121.04209,23.99827
C1_376480000A_000037,國姓北港溪溫泉,南投縣,南投縣國姓鄉北港村北原路,國姓鄉,120.93338,24.06402
C1_376480000A_000039,永興水火同源,南投縣,水里鄉永興村投58號鄉道3.5K處的路旁竹林下,水里鄉,120.86159,23.7848
C1_376480000A_000041,埔里溫泉,南投縣,南投縣埔里鎮鯉魚路37-1號及中山路一段151號,埔里鎮,120.99243,23.97951
